"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"0400000US12","Florida","67917","259",
"1400000US12086003703","Census Tract 37.03; Miami-Dade County; Florida","119111","30150",
"1400000US12086003704","Census Tract 37.04; Miami-Dade County; Florida","71250","22046",
"1400000US12086003705","Census Tract 37.05; Miami-Dade County; Florida","94600","13098",
"1400000US12086003706","Census Tract 37.06; Miami-Dade County; Florida","57885","18661",
"1400000US12086003707","Census Tract 37.07; Miami-Dade County; Florida","112000","45837",
"1400000US12086003708","Census Tract 37.08; Miami-Dade County; Florida","96481","45062",
"1400000US12086003709","Census Tract 37.09; Miami-Dade County; Florida","57007","10390",
"1400000US12086003710","Census Tract 37.10; Miami-Dade County; Florida","100360","12579",
"1400000US12086003801","Census Tract 38.01; Miami-Dade County; Florida","73200","17873",
"1400000US12086003803","Census Tract 38.03; Miami-Dade County; Florida","86172","28798",
"1400000US12086003804","Census Tract 38.04; Miami-Dade County; Florida","73160","20664",
"1400000US12086003906","Census Tract 39.06; Miami-Dade County; Florida","210469","41104",
"1400000US12086003909","Census Tract 39.09; Miami-Dade County; Florida","42667","19096",
"1400000US12086003911","Census Tract 39.11; Miami-Dade County; Florida","46458","10654",
"1400000US12086003912","Census Tract 39.12; Miami-Dade County; Florida","51085","9186",
"1400000US12086003913","Census Tract 39.13; Miami-Dade County; Florida","47222","14908",
"1400000US12086003914","Census Tract 39.14; Miami-Dade County; Florida","52083","21265",
"1400000US12086003915","Census Tract 39.15; Miami-Dade County; Florida","64063","14089",
"1400000US12086003916","Census Tract 39.16; Miami-Dade County; Florida","65713","7328",
"1400000US12086003917","Census Tract 39.17; Miami-Dade County; Florida","71379","22780",
"1400000US12086003918","Census Tract 39.18; Miami-Dade County; Florida","83375","25209",
"1400000US12086003919","Census Tract 39.19; Miami-Dade County; Florida","111583","40025",
"1400000US12086003921","Census Tract 39.21; Miami-Dade County; Florida","105174","47592",
"1400000US12086003922","Census Tract 39.22; Miami-Dade County; Florida","95278","25173",
"1400000US12086004000","Census Tract 40; Miami-Dade County; Florida","124504","99423",
"1400000US12086004102","Census Tract 41.02; Miami-Dade County; Florida","181875","57594",
"1400000US12086004103","Census Tract 41.03; Miami-Dade County; Florida","42238","12508",
"1400000US12086004105","Census Tract 41.05; Miami-Dade County; Florida","68125","63745",
"1400000US12086004106","Census Tract 41.06; Miami-Dade County; Florida","160664","60810",
"1400000US12086004204","Census Tract 42.04; Miami-Dade County; Florida","45182","8206",
"1400000US12086004205","Census Tract 42.05; Miami-Dade County; Florida","52104","19461",
"1400000US12086004206","Census Tract 42.06; Miami-Dade County; Florida","67593","55705",
"1400000US12086004207","Census Tract 42.07; Miami-Dade County; Florida","56393","25234",
"1400000US12086004208","Census Tract 42.08; Miami-Dade County; Florida","51917","26789",
"1400000US12086004301","Census Tract 43.01; Miami-Dade County; Florida","78526","12251",
"1400000US12086004303","Census Tract 43.03; Miami-Dade County; Florida","54022","15339",
"1400000US12086004304","Census Tract 43.04; Miami-Dade County; Florida","69659","15104",
"1400000US12086004403","Census Tract 44.03; Miami-Dade County; Florida","49665","7796",
"1400000US12086004404","Census Tract 44.04; Miami-Dade County; Florida","26224","11369",
"1400000US12086004405","Census Tract 44.05; Miami-Dade County; Florida","47450","12811",
"1400000US12086004406","Census Tract 44.06; Miami-Dade County; Florida","68636","21633",
"1400000US12086004500","Census Tract 45; Miami-Dade County; Florida","69983","39682",
"1400000US12086004602","Census Tract 46.02; Miami-Dade County; Florida","239853","70106",
"1400000US12086004605","Census Tract 46.05; Miami-Dade County; Florida","168646","89663",
"1400000US12086004607","Census Tract 46.07; Miami-Dade County; Florida","166250","97214",
"1400000US12086004608","Census Tract 46.08; Miami-Dade County; Florida","101563","41008",
"1400000US12086004701","Census Tract 47.01; Miami-Dade County; Florida","88324","18540",
"1400000US12086004703","Census Tract 47.03; Miami-Dade County; Florida","85703","18850",
"1400000US12086004704","Census Tract 47.04; Miami-Dade County; Florida","75455","15518",
"1400000US12086004705","Census Tract 47.05; Miami-Dade County; Florida","101106","70454",
"1400000US12086004901","Census Tract 49.01; Miami-Dade County; Florida","51385","16250",
"1400000US12086004903","Census Tract 49.03; Miami-Dade County; Florida","43428","25601",
"1400000US12086004904","Census Tract 49.04; Miami-Dade County; Florida","62551","9670",
"1400000US12086005002","Census Tract 50.02; Miami-Dade County; Florida","55142","22581",
"1400000US12086005003","Census Tract 50.03; Miami-Dade County; Florida","60975","24396",
"1400000US12086005004","Census Tract 50.04; Miami-Dade County; Florida","44643","15512",
"1400000US12086005102","Census Tract 51.02; Miami-Dade County; Florida","33324","16446",
"1400000US12086005103","Census Tract 51.03; Miami-Dade County; Florida","45023","7948",
"1400000US12086005104","Census Tract 51.04; Miami-Dade County; Florida","31440","4605",
"1400000US12086005201","Census Tract 52.01; Miami-Dade County; Florida","36535","5597",
"1400000US12086005202","Census Tract 52.02; Miami-Dade County; Florida","38322","3563",
"1400000US12086005303","Census Tract 53.03; Miami-Dade County; Florida","41177","7130",
"1400000US12086005304","Census Tract 53.04; Miami-Dade County; Florida","30114","5794",
"1400000US12086005305","Census Tract 53.05; Miami-Dade County; Florida","30667","17950",
"1400000US12086005306","Census Tract 53.06; Miami-Dade County; Florida","24507","19969",
"1400000US12086005403","Census Tract 54.03; Miami-Dade County; Florida","52639","14368",
"1400000US12086005405","Census Tract 54.05; Miami-Dade County; Florida","47536","13373",
"1400000US12086005406","Census Tract 54.06; Miami-Dade County; Florida","-","**",
"1400000US12086005407","Census Tract 54.07; Miami-Dade County; Florida","40328","10261",
"1400000US12086005409","Census Tract 54.09; Miami-Dade County; Florida","22891","7438",
"1400000US12086005410","Census Tract 54.10; Miami-Dade County; Florida","26328","9907",
"1400000US12086005503","Census Tract 55.03; Miami-Dade County; Florida","50869","13383",
"1400000US12086005504","Census Tract 55.04; Miami-Dade County; Florida","59701","9676",
"1400000US12086005505","Census Tract 55.05; Miami-Dade County; Florida","37317","18265",
"1400000US12086005506","Census Tract 55.06; Miami-Dade County; Florida","39821","24607",
"1400000US12086005600","Census Tract 56; Miami-Dade County; Florida","56632","16276",
"1400000US12086005701","Census Tract 57.01; Miami-Dade County; Florida","55433","26790",
"1400000US12086005705","Census Tract 57.05; Miami-Dade County; Florida","38457","8718",
"1400000US12086005706","Census Tract 57.06; Miami-Dade County; Florida","60543","16656",
"1400000US12086005707","Census Tract 57.07; Miami-Dade County; Florida","37378","14462",
"1400000US12086005708","Census Tract 57.08; Miami-Dade County; Florida","37176","11190",
"1400000US12086005803","Census Tract 58.03; Miami-Dade County; Florida","57390","32009",
"1400000US12086005804","Census Tract 58.04; Miami-Dade County; Florida","53943","6969",
"1400000US12086005805","Census Tract 58.05; Miami-Dade County; Florida","66531","9226",
"1400000US12086005806","Census Tract 58.06; Miami-Dade County; Florida","72738","39710",
"1400000US12086005901","Census Tract 59.01; Miami-Dade County; Florida","75399","22743",
"1400000US12086005902","Census Tract 59.02; Miami-Dade County; Florida","47404","29854",
"1400000US12086005903","Census Tract 59.03; Miami-Dade County; Florida","52685","9614",
"1400000US12086005904","Census Tract 59.04; Miami-Dade County; Florida","59850","36680",
"1400000US12086006002","Census Tract 60.02; Miami-Dade County; Florida","74613","11901",
"1400000US12086006003","Census Tract 60.03; Miami-Dade County; Florida","139563","19903",
"1400000US12086006004","Census Tract 60.04; Miami-Dade County; Florida","128636","31510",
"1400000US12086006103","Census Tract 61.03; Miami-Dade County; Florida","195566","70662",
"1400000US12086006104","Census Tract 61.04; Miami-Dade County; Florida","150875","45875",
"1400000US12086006105","Census Tract 61.05; Miami-Dade County; Florida","134205","30908",
"1400000US12086006106","Census Tract 61.06; Miami-Dade County; Florida","140875","49261",
"1400000US12086006201","Census Tract 62.01; Miami-Dade County; Florida","50417","12207",
"1400000US12086006203","Census Tract 62.03; Miami-Dade County; Florida","88529","11756",
"1400000US12086006205","Census Tract 62.05; Miami-Dade County; Florida","66394","22150",
"1400000US12086006206","Census Tract 62.06; Miami-Dade County; Florida","108106","20883",
"1400000US12086006302","Census Tract 63.02; Miami-Dade County; Florida","70571","18412",
"1400000US12086006303","Census Tract 63.03; Miami-Dade County; Florida","33644","12367",
"1400000US12086006304","Census Tract 63.04; Miami-Dade County; Florida","44286","12891",
"1400000US12086006401","Census Tract 64.01; Miami-Dade County; Florida","40477","9953",
"1400000US12086006402","Census Tract 64.02; Miami-Dade County; Florida","51739","20792",
"1400000US12086006403","Census Tract 64.03; Miami-Dade County; Florida","34079","28448",
"1400000US12086006501","Census Tract 65.01; Miami-Dade County; Florida","68632","15351",
"1400000US12086006503","Census Tract 65.03; Miami-Dade County; Florida","85870","18148",
"1400000US12086006504","Census Tract 65.04; Miami-Dade County; Florida","89922","14881",
"1400000US12086006603","Census Tract 66.03; Miami-Dade County; Florida","33477","17287",
